Commit Log for Tue Jan  2 21:42:43 2018


Seuraavat paketit päivitettiin:
libnm0 (1.2.6-0ubuntu0.16.04.1) to 1.2.6-0ubuntu0.16.04.2
libnma-common (1.2.6-0ubuntu0.16.04.3) to 1.2.6-0ubuntu0.16.04.4
libnma0 (1.2.6-0ubuntu0.16.04.3) to 1.2.6-0ubuntu0.16.04.4
libnss3 (2:3.28.4-0ubuntu0.16.04.1) to 2:3.28.4-0ubuntu0.16.04.3
libnss3-1d (2:3.28.4-0ubuntu0.16.04.1) to 2:3.28.4-0ubuntu0.16.04.3
libnss3-nssdb (2:3.28.4-0ubuntu0.16.04.1) to 2:3.28.4-0ubuntu0.16.04.3
libnux-4.0-common (4.0.8+16.04.20160705-0ubuntu1) to 4.0.8+16.04.20170816-0ubuntu1
libpackagekit-glib2-16 (0.8.17-4ubuntu6~gcc5.4ubuntu1.1) to 0.8.17-4ubuntu6~gcc5.4ubuntu1.2
libperl5.22 (5.22.1-9) to 5.22.1-9ubuntu0.2
libplist3 (1.12-3.1) to 1.12-3.1ubuntu0.16.04.1
libpoppler-glib8 (0.41.0-0ubuntu1.1) to 0.41.0-0ubuntu1.5
libpoppler58 (0.41.0-0ubuntu1.1) to 0.41.0-0ubuntu1.5
libpulse-mainloop-glib0 (1:8.0-0ubuntu3.2) to 1:8.0-0ubuntu3.7
libpulse0 (1:8.0-0ubuntu3.2) to 1:8.0-0ubuntu3.7
libpulsedsp (1:8.0-0ubuntu3.2) to 1:8.0-0ubuntu3.7
libpython2.7 (2.7.12-1ubuntu0~16.04.1) to 2.7.12-1ubuntu0~16.04.2
libpython2.7-minimal (2.7.12-1ubuntu0~16.04.1) to 2.7.12-1ubuntu0~16.04.2
libpython2.7-stdlib (2.7.12-1ubuntu0~16.04.1) to 2.7.12-1ubuntu0~16.04.2
libpython3.5 (3.5.2-2ubuntu0~16.04.1) to 3.5.2-2ubuntu0~16.04.4
libpython3.5-minimal (3.5.2-2ubuntu0~16.04.1) to 3.5.2-2ubuntu0~16.04.4
libpython3.5-stdlib (3.5.2-2ubuntu0~16.04.1) to 3.5.2-2ubuntu0~16.04.4
libqt5core5a (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libqt5dbus5 (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libqt5gui5 (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libqt5libqgtk2 (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libqt5network5 (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libqt5opengl5 (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libqt5printsupport5 (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libqt5sql5 (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libqt5sql5-sqlite (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libqt5widgets5 (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libqt5xml5 (5.5.1+dfsg-16ubuntu7.2) to 5.5.1+dfsg-16ubuntu7.5
libquadmath0 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libraw15 (0.17.1-1) to 0.17.1-1ubuntu0.1
libroken18-heimdal (1.7~git20150920+dfsg-4ubuntu1) to 1.7~git20150920+dfsg-4ubuntu1.16.04.1
libruby2.3 (2.3.1-2~16.04) to 2.3.1-2~16.04.2
